Turn, Num Camps, Desired Camps, Added This Turn, Land Plots, No Visibility, Tribes
1, LOC_BARBARIAN_MELEE_6, UNIT_SPEARMAN, 19-22
1, LOC_BARBARIAN_MELEE_5, UNIT_SPEARMAN, 13-29
1, LOC_BARBARIAN_MELEE_2, UNIT_SPEARMAN, 66-13
1, 3, 18, 3, 1191, 1036, 3
2, LOC_BARBARIAN_MELEE_10, UNIT_SPEARMAN, 48-40
2, 4, 18, 1, 1191, 1039, 4
3, LOC_BARBARIAN_MELEE_9, UNIT_SPEARMAN, 49-8
3, 5, 18, 1, 1191, 1021, 5
4, LOC_BARBARIAN_NAVAL_10, UNIT_SPEARMAN, 70-37
4, 6, 18, 1, 1191, 998, 6
5, LOC_BARBARIAN_MELEE_3, UNIT_SPEARMAN, 15-6
5, 7, 18, 1, 1191, 988, 7
6, LOC_BARBARIAN_MELEE_1, UNIT_SPEARMAN, 32-21
6, 8, 18, 1, 1191, 962, 8
7, LOC_BARBARIAN_MELEE_7, UNIT_SPEARMAN, 48-26
7, 9, 18, 1, 1191, 952, 9
8, LOC_BARBARIAN_MELEE_8, UNIT_SPEARMAN, 61-28
8, 10, 18, 1, 1191, 941, 10
9, LOC_BARBARIAN_NAVAL_6, UNIT_SPEARMAN, 21-39
9, 11, 18, 1, 1191, 949, 11
10, LOC_BARBARIAN_NAVAL_8, UNIT_SPEARMAN, 7-2
10, 12, 18, 1, 1191, 947, 12
11, LOC_BARBARIAN_MELEE_4, UNIT_SPEARMAN, 25-13
11, 12, 18, 1, 1191, 931, 13
12, LOC_BARBARIAN_MELEE_2, UNIT_SPEARMAN, 55-18
12, 13, 18, 1, 1191, 917, 14
13, 13, 18, 0, 1191, 906, 14
14, 13, 18, 0, 1191, 908, 14
15, 13, 18, 0, 1191, 899, 14
16, 13, 18, 0, 1191, 914, 14
17, 13, 18, 0, 1191, 910, 14
18, 13, 18, 0, 1191, 919, 14
19, 13, 18, 0, 1191, 911, 14
20, LOC_BARBARIAN_CAVALRY_9, UNIT_SPEARMAN, 71-24
20, 14, 18, 1, 1191, 930, 15
21, 14, 18, 0, 1191, 903, 15
22, 14, 18, 0, 1191, 900, 15
23, 14, 18, 0, 1191, 897, 15
24, 13, 18, 0, 1191, 890, 15
25, LOC_BARBARIAN_NAVAL_7, UNIT_SPEARMAN, 6-38
25, 13, 18, 1, 1191, 899, 16
26, 13, 18, 0, 1191, 886, 16
27, 13, 18, 0, 1191, 879, 16
28, 12, 18, 0, 1191, 850, 16
29, 12, 18, 0, 1191, 849, 16
30, 12, 18, 0, 1191, 852, 16
31, LOC_BARBARIAN_CAVALRY_2, UNIT_SPEARMAN, 6-15
31, 13, 18, 1, 1191, 868, 17
32, 13, 18, 0, 1191, 856, 17
33, 13, 18, 0, 1191, 832, 17
34, 13, 18, 0, 1191, 836, 17
35, 13, 18, 0, 1191, 844, 17
36, 13, 18, 0, 1191, 854, 17
37, 13, 18, 0, 1191, 840, 17
