Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
3, 8, 63, 1:1, 131073:589832, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 19, 37
4, 24, 63, 1:1, 196610:524295, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 42, 23
5, 20, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 39, 25
5, 24, 63, 1:1, 196610:524295, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 4, 41, 18
5, 24, 63, 1:1, 131073:524295, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 2, 28, 27
5, 63, 20, 1:1, 65536:262144, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, -2, 0, 14, 59
6, 20, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, -4, 29, 24
6, 24, 63, 1:1, 131073:524295, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, -1, 26, 24
6, 25, 63, 1:1, 131073:1245202, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 5, 26, 39
7, 7, 63, 1:1, 131073:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 11, 51, 18
7, 14, 63, 1:1, 262144:655369, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 0, 0, 0, 18
7, 14, 63, 1:1, 131073:983054, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 3, 25, 33
7, 20, 63, 1:1, 196610:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, -6, 23, 45
7, 63, 14, 1:1, 655369:262144, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, -2, 5, 20, 44
9, 18, 63, 1:1, 196610:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 16, 47
10, 10, 63, 1:1, 131073:1900572, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 24, 43
10, 12, 63, 1:1, 131073:1835035, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 9, 28, 29
10, 14, 63, 1:1, 196610:655369, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 1, 28, 37
10, 14, 63, 1:1, 131073:655369, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, -7, 21, 49
10, 18, 63, 1:1, 196610:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 3, -5, 15, 65
10, 24, 63, 1:1, 131073:524295, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, -3, 25, 35
10, 63, 7, 1:1, 327684:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -2, 11, 45, 22
10, 63, 6, 1:1, 786443:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, 0, 15, 38, 22
11, 6, 63, 1:1, 131073:2097183, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 3, 0, 28, 27
11, 12, 63, 1:1, 131073:1835035, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 6, 32, 25
11, 14, 63, 1:1, 262144:2031646, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 1, 0, 0, 24
11, 63, 14, 1:1, 2031646:262144, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -2, 1, 22, 49
11, 63, 1, 1:1, 2162720:262146, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, 0, 0, 40
11, 63, 6, 1:1, 2097183:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 0, 29, 22
11, 63, 6, 1:1, 786443:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -4, 8, 34, 25
12, 8, 63, 1:1, 131073:589832, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -4, 18, 43
12, 14, 63, 1:1, 131073:2031646, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 1, 0, 28, 30
12, 63, 2, 1:1, 2555941:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 20, 49
12, 63, 14, 1:1, 2031646:262144, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -8, -4, 15, 55
12, 63, 6, 1:1, 2097183:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -6, -5, 36, 23
13, 3, 63, 1:1, 327683:1114128, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, 0, 0, 39
13, 10, 63, 1:1, 131073:1835035, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, 4, 39, 27
13, 28, 63, 1:1, 196610:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, -2, 13, 66
13, 63, 14, 1:1, 2031646:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -9, 2, 37, 20
13, 63, 9, 1:1, 1048591:262146, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, 0, 3, 17, 47
13, 63, 9, 1:1, 3276845:262146, UNIT_BARBARIAN_HORSEMAN, UNIT_SLINGER, 20, 5, 0, -2, 16, 65
14, 3, 63, 1:1, 131073:1114128, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 1, 20, 37
14, 10, 63, 1:1, 327683:1900572, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, -4, 0, 40
14, 63, 12, 1:1, 1835035:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -8, 9, 42, 18
14, 63, 10, 1:1, 3538993:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -6, 21, 39
