Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers
1, 0, 10, 0, 0, 2:0, 1:1, NO_TECH
1, 1, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 2, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 3, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 4, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 5, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 6, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 7, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 8, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 9, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 10, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 11, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 12, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 13, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 14, 0, 0, 0, 0:0, 0:1, NO_TECH
2, 0, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 1, 0, 0, 0, 1:0, 5:1, NO_TECH
2, 2, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 3, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 4, 38, 0, 0, 2:0, 0:0, NO_TECH
2, 5, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 6, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 9, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 10, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 11, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 12, 55, 0, 0, 0:0, 0:1, NO_TECH
2, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 14, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 0, 30, 0, 0, 2:0, 1:1, NO_TECH
3, 1, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 2, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 3, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 4, 38, 0, 0, 2:0, 1:1, NO_TECH
3, 5, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 6, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 9, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 10, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 11, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 12, 55, 0, 0, 0:0, 0:1, NO_TECH
3, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 14, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 0, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 1, 30, 0, 0, 2:0, 0:0, NO_TECH
4, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 3, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 4, 38, 0, 20, 2:0, 1:1, NO_TECH
4, 5, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 6, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
4, 9, 40, 0, 28, 0:0, 0:1, NO_TECH
4, 10, 40, 10, 0, 0:0, 0:1, NO_TECH
4, 11, 20, 0, 0, 0:0, 0:1, NO_TECH
4, 12, 55, 0, 0, 0:0, 0:1, NO_TECH
4, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 14, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 0, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 3, 10, 0, 0, 2:0, 1:1, NO_TECH
5, 4, 38, 0, 20, 2:0, 1:1, NO_TECH
5, 5, 30, 10, 0, 2:0, 1:1, NO_TECH
5, 6, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
5, 9, 40, 0, 38, 0:0, 0:1, NO_TECH
5, 10, 40, 10, 0, 0:0, 0:1, NO_TECH
5, 11, 20, 0, 0, 0:0, 0:1, NO_TECH
5, 12, 55, 0, 0, 0:0, 0:1, NO_TECH
5, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 14, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 0, 30, 0, 40, 2:0, 1:1, NO_TECH
