Game Turn, Player, Score, CATEGORY_CIVICS, CATEGORY_EMPIRE, CATEGORY_GREAT_PEOPLE, CATEGORY_RELIGION, CATEGORY_TECH, CATEGORY_WONDER, CATEGORY_TRADE, CATEGORY_PILLAGE, CATEGORY_INCOME, CATEGORY_SCENARIO1, CATEGORY_SCENARIO2, CATEGORY_SCENARIO3
1, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 2, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 3, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 4, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 5, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 6, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 7, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 9, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 10, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 11, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 12, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
