Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
3, 3, 63, 1:1, 131073:983054, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 35, 23
4, 1, 63, 1:1, 131073:262147, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 23, 35
4, 3, 63, 1:1, 131073:983054, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, 4, 36, 23
4, 63, 3, 1:1, 983054:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -5, -2, 27, 26
5, 9, 63, 1:1, 131073:1179665, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 20, 43
5, 26, 63, 1:1, 196610:1310739, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 22, 38
6, 14, 63, 1:1, 196610:1572887, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 20, 52
7, 7, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 11, 41, 17
8, 22, 63, 1:1, 131073:1507350, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 6, 33, 31
8, 63, 13, 1:1, 196610:262144, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, 0, 5, 19, 50
9, 13, 63, 1:1, 262144:196610, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 0, -2, 0, 23
9, 14, 63, 1:1, 196610:1507350, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 8, 3, 32, 30
9, 22, 63, 1:1, 131073:1507350, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 0, 28, 38
9, 22, 63, 1:1, 196610:1507350, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, -4, 21, 38
9, 26, 63, 1:1, 196610:1310739, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 4, -4, 14, 66
9, 29, 63, 1:1, 196610:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 3, 16, 51
