Game Turn, Player, Strategy, Status
1, 0, STRATEGY_EARLY_EXPLORATION, Following
1, 0, STRATEGY_RAPID_EXPANSION, Following
1, 1, STRATEGY_EARLY_EXPLORATION, Following
1, 1, STRATEGY_RAPID_EXPANSION, Following
1, 2, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 2, STRATEGY_EARLY_EXPLORATION, Following
1, 2, STRATEGY_RAPID_EXPANSION, Following
1, 3, STRATEGY_EARLY_EXPLORATION, Following
1, 3, STRATEGY_RAPID_EXPANSION, Following
1, 4, STRATEGY_EARLY_EXPLORATION, Following
1, 4, STRATEGY_RAPID_EXPANSION, Following
1, 5, STRATEGY_EARLY_EXPLORATION, Following
1, 5, STRATEGY_RAPID_EXPANSION, Following
1, 6, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 6, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 6, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 6, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 6, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 6, STRATEGY_RAPID_EXPANSION, Forbidden
1, 6, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 6, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 6, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 6, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 6, STRATEGY_MODERN_CHANGES, Forbidden
1, 7, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 7, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 7, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 7, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 7, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 7, STRATEGY_RAPID_EXPANSION, Forbidden
1, 7, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 7, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 7, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 7, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 7, STRATEGY_MODERN_CHANGES, Forbidden
1, 8, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 8, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 8, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 8, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 8, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 8, STRATEGY_RAPID_EXPANSION, Forbidden
1, 8, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 8, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 8, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 8, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 8, STRATEGY_MODERN_CHANGES, Forbidden
1, 9, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 9, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 9, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 9, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 9, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 9, STRATEGY_RAPID_EXPANSION, Forbidden
1, 9, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 9, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 9, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 9, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 9, STRATEGY_MODERN_CHANGES, Forbidden
1, 10, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 10, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 10, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 10, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 10, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 10, STRATEGY_RAPID_EXPANSION, Forbidden
1, 10, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 10, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 10, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 10, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 10, STRATEGY_MODERN_CHANGES, Forbidden
1, 11, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 11, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 11, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 11, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 11, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 11, STRATEGY_RAPID_EXPANSION, Forbidden
1, 11, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 11, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 11, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 11, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 11, STRATEGY_MODERN_CHANGES, Forbidden
1, 12, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 12, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 12, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 12, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 12, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 12, STRATEGY_RAPID_EXPANSION, Forbidden
1, 12, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 12, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 12, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 12, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 12, STRATEGY_MODERN_CHANGES, Forbidden
1, 13, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 13, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 13, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 13, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 13, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 13, STRATEGY_RAPID_EXPANSION, Forbidden
1, 13, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 13, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 13, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 13, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 13, STRATEGY_MODERN_CHANGES, Forbidden
1, 14, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 14, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 14, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 14, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 14, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 14, STRATEGY_RAPID_EXPANSION, Forbidden
1, 14, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 14, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 14, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 14, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 14, STRATEGY_MODERN_CHANGES, Forbidden
1, 63, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 63, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 63, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 63, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 63, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 63, STRATEGY_RAPID_EXPANSION, Forbidden
1, 63, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 63, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 63, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 63, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 63, STRATEGY_MODERN_CHANGES, Forbidden
4, 4, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
7, 3, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
8, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
8, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
8, 4, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
11, 5, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
12, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
15, 3, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
19, 0, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
24, 1, STRATEGY_EARLY_EXPLORATION, Stopped
24, 3, STRATEGY_CLASSICAL_CHANGES, Following
24, 4, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
26, 1, STRATEGY_CLASSICAL_CHANGES, Following
27, 5, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
28, 0, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
28, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
30, 4, STRATEGY_CLASSICAL_CHANGES, Following
31, 3, STRATEGY_EARLY_EXPLORATION, Stopped
31, 5, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
33, 0, STRATEGY_CLASSICAL_CHANGES, Following
34, 0, STRATEGY_EARLY_EXPLORATION, Stopped
35, 2, STRATEGY_EARLY_EXPLORATION, Stopped
35, 5, STRATEGY_CLASSICAL_CHANGES, Following
36, 2, STRATEGY_RAPID_EXPANSION, Stopped
38, 2, STRATEGY_CLASSICAL_CHANGES, Following
40, 2, STRATEGY_NAVAL, Following
40, 5, STRATEGY_EARLY_EXPLORATION, Stopped
41, 1, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
43, 3, STRATEGY_RAPID_EXPANSION, Stopped
54, 1, STRATEGY_RAPID_EXPANSION, Stopped
57, 3, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
58, 2, STRATEGY_RAPID_EXPANSION, Following
58, 3, STRATEGY_MEDIEVAL_CHANGES, Following
61, 1, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Stopped
63, 1, STRATEGY_MEDIEVAL_CHANGES, Following
63, 3, STRATEGY_RAPID_EXPANSION, Following
66, 5, STRATEGY_MEDIEVAL_CHANGES, Following
67, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
67, 2, STRATEGY_MEDIEVAL_CHANGES, Following
67, 2, STRATEGY_RENAISSANCE_CHANGES, Following
74, 1, STRATEGY_RAPID_EXPANSION, Following
77, 3, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
